ligand,Energy,RMSD,Fitness quality,Confidence Score (%)
aptamerd41,-411.73,33.53,-268.33,99.47
aptamerd383,-400.13,44.28,-271.76,99.332
aptamerd365,-393.44,28.66,-268.12,99.238
aptamerd225,-386.95,42.51,-274.04,99.133
aptamerd496,-385.4,22.41,-258.71,99.106
aptamerd466,-384.2,45.5,-276.55,99.084
aptamerd705,-383.81,34.58,-254.81,99.077
aptamerd918,-383.09,25.49,-250.4,99.064
aptamerd142,-382.91,30.25,-264.82,99.061
aptamerd492,-382.08,39.35,-261.79,99.045
aptamerd177,-379.65,47.95,-248.9,98.998
aptamerd249,-379.63,33.89,-273.8,98.998
aptamerd121,-379.49,31.48,-274.66,98.995
aptamerd355,-379.03,53.32,-267.01,98.986
aptamerd864,-378.91,30.02,-258.26,98.983
aptamerd723,-378.76,30.89,-245.98,98.98
aptamerd1046,-377.94,27.98,-259.71,98.963
aptamerd435,-376.63,57.27,-264.67,98.936
aptamerd48,-375.73,39.48,-264.0,98.917
aptamerd868,-373.38,74.37,-284.36,98.866
aptamerd1098,-372.71,45.59,-262.5,98.85
aptamerd441,-371.58,34.79,-255.96,98.824
aptamerd822,-370.53,30.97,-267.59,98.8
aptamerd825,-370.49,66.54,-265.63,98.799
aptamerd1034,-370.47,37.69,-255.46,98.798
aptamerd734,-370.36,54.39,-288.98,98.796
aptamerd920,-370.23,65.99,-268.49,98.793
aptamerd950,-369.32,39.97,-271.95,98.771
aptamerd216,-368.97,28.89,-253.09,98.762
aptamerd329,-368.7,36.33,-252.3,98.756
aptamerd906,-368.56,45.35,-274.17,98.752
aptamerd508,-366.99,29.13,-281.98,98.713
aptamerd189,-366.59,31.89,-260.61,98.703
aptamerd202,-366.52,41.64,-267.37,98.701
aptamerd55,-366.24,28.04,-251.5,98.694
aptamerd323,-366.16,50.17,-271.33,98.692
aptamerd448,-365.16,28.13,-256.67,98.666
aptamerd835,-364.52,50.58,-271.87,98.649
aptamerd894,-364.39,48.92,-272.76,98.645
aptamerd577,-363.48,74.36,-273.58,98.621
aptamerd710,-363.27,59.43,-257.54,98.615
aptamerd903,-363.02,35.49,-262.43,98.608
aptamerd853,-363.02,48.7,-251.88,98.608
aptamerd569,-362.95,44.25,-275.72,98.606
aptamerd538,-362.56,31.79,-251.25,98.595
aptamerd573,-361.96,47.54,-253.0,98.579
aptamerd610,-361.92,38.64,-283.7,98.577
aptamerd1015,-361.21,45.53,-258.83,98.557
aptamerd102,-361.21,28.72,-276.74,98.557
