ligand,Energy,RMSD,Fitness quality,Confidence Score (%)
aptamerd577,-545.96,35.24,-336.6,99.964
aptamerd274,-514.52,33.85,-319.87,99.932
aptamerd734,-496.96,41.02,-327.26,99.903
aptamerd279,-494.57,57.01,-315.98,99.898
aptamerd128,-489.36,69.2,-303.52,99.887
aptamerd107,-486.63,39.51,-326.36,99.881
aptamerd920,-483.18,31.3,-300.06,99.873
aptamerd569,-478.85,63.04,-321.81,99.861
aptamerd348,-476.99,66.04,-315.45,99.856
aptamerd924,-475.35,38.53,-307.16,99.851
aptamerd719,-462.6,27.9,-277.02,99.808
aptamerd242,-461.51,53.41,-242.83,99.803
aptamerd584,-460.03,55.11,-333.68,99.798
aptamerd299,-451.42,43.38,-285.96,99.76
aptamerd970,-449.88,64.59,-318.6,99.752
aptamerd443,-448.4,41.91,-322.23,99.745
aptamerd586,-447.57,44.18,-269.43,99.74
aptamerd329,-444.2,32.2,-259.0,99.722
aptamerd618,-441.82,61.71,-275.96,99.709
aptamerd819,-440.99,67.31,-299.71,99.704
aptamerd631,-436.16,49.95,-276.83,99.674
aptamerd1051,-435.26,44.66,-247.55,99.668
aptamerd632,-433.58,64.49,-294.7,99.657
aptamerd17,-432.42,31.8,-281.19,99.649
aptamerd144,-432.19,41.47,-293.39,99.647
aptamerd664,-429.7,58.25,-273.25,99.629
aptamerd26,-419.89,53.56,-286.85,99.549
aptamerd454,-419.84,45.56,-244.27,99.549
aptamerd868,-418.5,55.17,-287.87,99.537
aptamerd974,-417.14,40.65,-240.23,99.524
aptamerd923,-416.09,64.5,-297.73,99.514
aptamerd3,-415.71,35.11,-267.2,99.51
aptamerd1000,-413.65,31.91,-268.57,99.49
aptamerd527,-411.31,27.42,-229.22,99.465
aptamerd1025,-407.06,64.34,-294.66,99.418
aptamerd16,-404.63,38.26,-271.86,99.39
aptamerd882,-404.0,19.45,-241.78,99.382
aptamerd284,-402.56,65.68,-303.07,99.364
aptamerd249,-401.82,36.03,-285.82,99.354
aptamerd730,-398.42,36.11,-220.67,99.309
aptamerd92,-398.03,23.75,-250.05,99.304
aptamerd794,-396.04,19.27,-235.26,99.276
aptamerd622,-395.28,28.03,-257.3,99.265
aptamerd383,-394.58,42.23,-285.03,99.255
aptamerd307,-394.3,32.27,-220.37,99.251
aptamerd466,-394.28,34.95,-280.27,99.25
aptamerd48,-393.46,37.35,-238.93,99.238
aptamerd702,-392.29,18.36,-213.87,99.22
aptamerd793,-391.57,49.51,-252.53,99.209
aptamerd59,-390.23,41.83,-225.45,99.187
aptamerd508,-389.0,57.72,-280.37,99.167
aptamerd605,-387.43,37.1,-254.49,99.141
aptamerd213,-386.55,51.53,-259.75,99.126
aptamerd483,-386.43,38.76,-231.24,99.124
aptamerd968,-386.42,39.76,-225.35,99.124
aptamerd210,-386.15,21.65,-235.94,99.119
aptamerd76,-385.55,33.27,-236.88,99.108
aptamerd113,-385.25,45.3,-251.91,99.103
aptamerd148,-385.24,39.78,-231.25,99.103
aptamerd447,-385.15,18.71,-254.93,99.101
aptamerd271,-384.73,39.3,-249.26,99.094
aptamerd253,-384.02,43.53,-225.36,99.081
aptamerd554,-383.75,25.98,-232.3,99.076
aptamerd758,-383.62,40.01,-253.64,99.074
aptamerd496,-383.32,36.82,-265.36,99.068
aptamerd243,-383.18,34.28,-231.47,99.066
aptamerd435,-382.86,60.59,-262.09,99.06
aptamerd363,-382.3,40.75,-250.62,99.049
aptamerd140,-381.81,40.3,-238.34,99.04
aptamerd229,-380.44,57.24,-256.44,99.013
aptamerd935,-379.95,25.54,-243.57,99.004
aptamerd147,-379.45,44.22,-241.8,98.994
aptamerd77,-378.78,29.17,-263.93,98.98
aptamerd301,-378.23,53.55,-286.37,98.969
aptamerd623,-377.93,26.72,-212.77,98.963
aptamerd914,-377.71,64.86,-271.54,98.959
aptamerd89,-377.46,26.96,-260.76,98.954
aptamerd492,-377.06,25.63,-243.99,98.945
aptamerd288,-376.47,30.79,-291.21,98.933
aptamerd552,-376.0,33.66,-275.22,98.923
aptamerd179,-375.74,38.76,-246.24,98.917
aptamerd799,-375.68,26.28,-223.44,98.916
aptamerd634,-375.68,36.62,-262.27,98.916
aptamerd308,-375.46,23.35,-211.56,98.911
aptamerd828,-375.35,49.36,-276.45,98.909
aptamerd100,-374.87,31.87,-244.8,98.898
aptamerd767,-373.63,35.69,-236.12,98.871
aptamerd550,-373.63,32.92,-233.46,98.871
aptamerd570,-373.27,24.89,-214.26,98.863
aptamerd268,-373.27,30.24,-232.69,98.863
aptamerd30,-372.22,36.4,-265.24,98.839
aptamerd610,-372.11,50.99,-253.53,98.837
aptamerd204,-371.78,36.23,-260.29,98.829
aptamerd465,-371.73,43.85,-265.1,98.828
aptamerd173,-371.57,31.09,-249.29,98.824
aptamerd813,-370.94,13.17,-242.48,98.809
aptamerd370,-370.29,53.25,-248.44,98.794
aptamerd232,-370.13,47.0,-273.43,98.79
aptamerd644,-370.05,25.41,-233.26,98.788
aptamerd787,-369.72,46.37,-245.56,98.78
aptamerd411,-369.57,36.03,-240.38,98.777
aptamerd809,-368.83,27.18,-246.74,98.759
aptamerd880,-368.76,59.83,-263.93,98.757
aptamerd938,-368.55,48.01,-278.17,98.752
aptamerd408,-368.31,32.75,-259.84,98.746
aptamerd167,-367.65,32.08,-261.27,98.73
aptamerd172,-367.64,32.08,-218.7,98.729
aptamerd368,-366.8,46.21,-268.16,98.708
aptamerd852,-366.73,29.72,-251.71,98.706
aptamerd441,-366.55,37.43,-269.27,98.702
aptamerd223,-365.92,16.99,-235.75,98.685
aptamerd922,-365.79,52.23,-260.91,98.682
aptamerd90,-365.68,31.28,-230.55,98.679
aptamerd986,-365.54,29.05,-241.27,98.675
aptamerd778,-365.45,35.48,-245.65,98.673
aptamerd436,-365.39,44.53,-260.8,98.672
aptamerd565,-365.18,35.4,-234.62,98.666
aptamerd43,-364.78,37.68,-261.64,98.655
aptamerd306,-364.35,30.74,-249.85,98.644
aptamerd1030,-364.26,43.1,-276.43,98.642
aptamerd491,-364.19,29.11,-238.43,98.64
aptamerd298,-363.76,26.77,-234.83,98.628
aptamerd303,-363.48,30.88,-294.13,98.621
aptamerd353,-363.3,31.45,-260.84,98.616
aptamerd74,-362.86,46.38,-276.65,98.604
aptamerd386,-362.36,33.43,-257.32,98.59
aptamerd848,-362.2,38.78,-268.42,98.585
aptamerd535,-361.98,40.86,-254.16,98.579
aptamerd389,-361.48,30.02,-224.56,98.565
aptamerd683,-361.05,35.85,-259.73,98.553
aptamerd530,-360.75,64.71,-258.96,98.544
aptamerd990,-360.66,42.87,-264.17,98.542
