ligand,Docking score,RMSD,Fitness quality,Confidence Score (%)
aptamerd899,-482.55,28.67,-207.37,99.871
aptamerd536,-450.5,54.38,-269.19,99.755
aptamerd413,-439.15,32.26,-207.55,99.693
aptamerd331,-435.22,52.53,-267.66,99.668
aptamerd278,-434.11,26.48,-200.28,99.661
aptamerd526,-430.02,34.55,-249.18,99.632
aptamerd58,-428.78,39.02,-240.16,99.623
aptamerd59,-428.09,26.43,-202.23,99.617
aptamerd577,-424.08,27.08,-306.13,99.585
aptamerd924,-420.81,30.13,-282.56,99.558
aptamerd569,-419.53,65.89,-310.21,99.546
aptamerd618,-415.11,38.26,-249.7,99.504
aptamerd348,-414.53,38.64,-295.28,99.499
aptamerd260,-414.35,31.56,-252.11,99.497
aptamerd584,-407.43,61.67,-296.62,99.423
aptamerd190,-406.54,35.02,-219.61,99.412
aptamerd26,-405.77,69.57,-258.89,99.403
aptamerd632,-400.85,43.08,-277.42,99.342
aptamerd765,-399.75,37.97,-240.8,99.327
aptamerd443,-395.76,35.17,-277.63,99.272
aptamerd232,-394.43,57.5,-253.43,99.252
aptamerd997,-393.96,93.6,-255.81,99.245
aptamerd895,-391.16,39.61,-248.21,99.202
aptamerd107,-390.7,48.27,-292.59,99.195
aptamerd508,-389.83,86.11,-259.64,99.181
aptamerd703,-389.51,43.01,-252.18,99.176
aptamerd790,-388.79,48.23,-204.77,99.164
aptamerd734,-387.2,61.03,-289.99,99.137
aptamerd75,-386.4,22.58,-253.47,99.123
aptamerd303,-385.75,31.49,-294.78,99.112
aptamerd610,-385.06,23.01,-240.17,99.1
aptamerd868,-382.71,97.72,-257.81,99.057
aptamerd128,-381.91,38.5,-280.24,99.042
aptamerd525,-381.23,20.09,-248.73,99.029
aptamerd288,-379.33,95.46,-269.01,98.992
aptamerd383,-375.19,28.28,-275.78,98.905
aptamerd923,-373.14,89.02,-263.54,98.86
aptamerd984,-372.49,21.87,-240.06,98.845
aptamerd17,-372.19,35.0,-267.68,98.839
aptamerd284,-372.16,39.85,-274.41,98.838
aptamerd920,-372.03,31.6,-273.73,98.835
aptamerd795,-371.1,37.81,-222.82,98.813
aptamerd315,-370.93,76.83,-231.9,98.809
aptamerd681,-370.82,48.25,-231.09,98.807
aptamerd818,-370.27,84.16,-244.94,98.794
aptamerd127,-369.81,42.02,-204.12,98.783
aptamerd279,-368.71,34.44,-267.08,98.756
aptamerd1047,-368.58,23.74,-192.49,98.753
aptamerd664,-368.26,49.39,-250.49,98.745
aptamerd999,-367.99,80.37,-245.32,98.738
aptamerd805,-366.52,25.13,-210.39,98.701
aptamerd828,-365.98,57.79,-258.04,98.687
aptamerd535,-365.6,35.3,-229.01,98.677
aptamerd218,-365.06,38.14,-225.06,98.663
aptamerd970,-364.89,74.99,-281.03,98.658
aptamerd77,-364.53,55.72,-249.45,98.649
aptamerd720,-364.51,72.23,-235.88,98.648
aptamerd349,-364.33,87.44,-258.87,98.643
aptamerd835,-361.69,65.4,-254.26,98.571
aptamerd188,-361.47,48.66,-222.68,98.565
aptamerd353,-360.8,25.47,-236.27,98.546
aptamerd195,-360.64,28.92,-230.6,98.541
aptamerd727,-360.43,30.99,-214.11,98.535
aptamerd684,-359.81,37.32,-240.08,98.517
aptamerd819,-359.7,45.18,-274.26,98.514
aptamerd386,-359.4,65.27,-259.81,98.505
aptamerd721,-359.38,60.58,-257.23,98.504
aptamerd530,-359.25,86.04,-235.85,98.501
aptamerd237,-359.14,74.86,-235.41,98.497
aptamerd938,-358.87,35.31,-254.62,98.489
aptamerd274,-358.78,39.48,-285.46,98.487
aptamerd1063,-358.63,32.59,-234.96,98.482
aptamerd585,-358.58,79.62,-204.94,98.481
aptamerd1000,-358.48,31.1,-241.19,98.478
aptamerd605,-358.33,74.55,-241.51,98.473
aptamerd559,-357.46,76.2,-229.89,98.447
aptamerd906,-356.73,67.8,-235.45,98.424
aptamerd144,-356.71,37.99,-258.13,98.424
aptamerd332,-356.15,35.36,-184.01,98.406
aptamerd663,-355.14,35.81,-237.72,98.374
aptamerd484,-354.62,80.59,-210.27,98.358
aptamerd1033,-354.39,69.04,-203.22,98.35
aptamerd726,-354.34,35.52,-204.04,98.348
aptamerd758,-354.23,37.51,-223.84,98.345
aptamerd1014,-354.11,55.88,-227.02,98.341
aptamerd306,-353.8,18.8,-238.49,98.331
aptamerd1085,-353.3,40.39,-244.63,98.314
aptamerd14,-353.07,56.06,-234.26,98.307
aptamerd89,-352.65,62.65,-240.6,98.293
aptamerd864,-352.62,84.73,-244.87,98.292
aptamerd72,-352.24,23.92,-195.14,98.279
aptamerd1007,-352.18,35.34,-196.4,98.277
aptamerd307,-351.81,43.08,-218.77,98.264
aptamerd770,-351.2,21.62,-223.4,98.243
aptamerd817,-350.85,87.42,-211.23,98.231
aptamerd245,-350.76,67.18,-230.82,98.228
aptamerd1075,-350.66,74.83,-244.46,98.225
aptamerd903,-350.41,56.32,-189.1,98.216
