ligand,Docking score,RMSD,Fitness quality,Confidence Score (%)
aptamerd895,-499.35,107.52,-227.14,99.908
aptamerd465,-473.31,119.08,-220.22,99.845
aptamerd1085,-469.92,118.51,-225.65,99.834
aptamerd437,-459.24,130.84,-210.47,99.794
aptamerd154,-452.49,116.55,-216.6,99.765
aptamerd734,-432.3,49.53,-273.27,99.648
aptamerd260,-427.78,112.46,-221.48,99.615
aptamerd104,-425.72,134.68,-200.73,99.599
aptamerd26,-419.04,143.02,-227.21,99.542
aptamerd938,-418.87,60.04,-232.56,99.54
aptamerd303,-411.69,103.63,-294.59,99.47
aptamerd727,-410.38,83.81,-211.98,99.456
aptamerd603,-406.36,118.8,-212.91,99.41
aptamerd96,-401.59,133.75,-180.62,99.352
aptamerd279,-399.96,143.48,-242.8,99.33
aptamerd577,-399.77,151.54,-284.27,99.328
aptamerd329,-394.74,125.49,-203.3,99.257
aptamerd345,-391.78,116.05,-215.02,99.212
aptamerd128,-390.33,69.76,-297.92,99.189
aptamerd202,-385.66,105.18,-229.8,99.11
aptamerd107,-380.35,140.28,-269.79,99.012
aptamerd584,-380.22,94.47,-310.14,99.009
aptamerd632,-378.58,86.97,-281.6,98.976
aptamerd914,-377.77,133.95,-226.87,98.96
aptamerd466,-376.37,109.11,-225.42,98.931
aptamerd427,-375.27,126.85,-191.81,98.907
aptamerd1015,-372.54,116.15,-197.61,98.847
aptamerd274,-371.36,103.21,-281.06,98.819
aptamerd450,-364.91,79.37,-235.2,98.659
aptamerd618,-363.78,157.5,-227.34,98.629
aptamerd984,-362.72,118.47,-239.4,98.6
aptamerd550,-362.6,113.28,-207.94,98.596
aptamerd924,-362.11,151.25,-250.47,98.583
aptamerd284,-361.18,156.53,-250.26,98.557
aptamerd1082,-360.02,124.63,-202.56,98.523
aptamerd330,-359.17,134.49,-177.71,98.498
aptamerd970,-358.14,69.68,-287.52,98.467
aptamerd679,-357.23,104.16,-213.74,98.44
aptamerd569,-356.72,54.17,-296.28,98.424
aptamerd331,-355.76,140.96,-222.28,98.394
aptamerd642,-354.76,139.3,-198.25,98.362
aptamerd443,-354.11,89.25,-256.87,98.341
aptamerd1075,-353.82,123.57,-231.97,98.331
aptamerd17,-352.86,99.38,-236.47,98.3
aptamerd909,-352.55,36.16,-170.39,98.289
aptamerd818,-351.61,146.6,-216.44,98.257
aptamerd721,-350.97,24.97,-222.42,98.235
aptamerd795,-350.04,136.72,-197.03,98.203
aptamerd880,-348.04,158.76,-215.42,98.131
aptamerd626,-347.5,121.57,-210.76,98.111
aptamerd875,-347.29,123.22,-155.96,98.103
aptamerd301,-345.0,76.98,-231.04,98.016
aptamerd497,-344.93,134.03,-182.42,98.013
aptamerd828,-344.72,115.29,-214.8,98.005
aptamerd108,-342.19,107.02,-199.24,97.904
aptamerd472,-341.97,124.86,-197.02,97.895
aptamerd833,-340.68,132.08,-178.01,97.841
aptamerd1084,-340.65,80.67,-238.67,97.84
aptamerd923,-340.23,105.67,-252.56,97.822
aptamerd530,-339.45,155.07,-193.1,97.788
aptamerd861,-338.74,101.51,-228.57,97.757
aptamerd882,-338.32,120.86,-176.36,97.739
aptamerd872,-337.66,158.4,-230.89,97.709
aptamerd435,-336.77,98.83,-216.59,97.669
aptamerd610,-336.59,146.14,-211.13,97.661
aptamerd348,-336.36,57.25,-274.02,97.651
aptamerd445,-336.08,137.0,-195.18,97.638
aptamerd873,-335.86,137.5,-194.45,97.627
aptamerd997,-335.74,26.53,-210.21,97.622
